postcode;e;n;canton;locality
1853;2562919.0;1131295.0;VD;Yvorne
1854;2567340.0;1132676.0;VD;Leysin
1856;2563502.208;1133324.089;VD;Corbeyrier
1860;2563501.066;1129550.693;VD;Aigle
1862;2573289.0;1137032.5;VD;La Comballaz
1863;2570068.888;1134399.026;VD;Le Sépey
1864;2575613.0;1134013.0;VD;Vers-l'Eglise
1865;2578648.0;1133334.0;VD;Les Diablerets
1866;2571429.558;1133163.63;VD;La Forclaz VD
1867;2565898.0;1127563.333;VD;Ollon VD
1868;2562162.0;1124782.0;VS;Collombey
1869;2565141.0;1121221.0;VS;Massongex
1870;2562476.0;1122604.0;VS;Monthey
1871;2562669.196;1120419.072;VS;Choëx
1872;2560167.035;1120469.819;VS;Troistorrents
1873;2555672.333;1116537.667;VS;Champoussin
1874;2555958.0;1113969.0;VS;Champéry
1875;2555409.0;1121080.0;VS;Morgins
1880;2570011.757;1123458.527;VD;Bex
1882;2572506.193;1125650.334;VD;Gryon
1884;2569962.0;1126973.333;VD;Arveyes
1885;2569599.0;1127971.0;VD;Chesières
1890;2566287.0;1116180.0;VS;Mex VS
1891;2564978.841;1117980.343;VS;Vérossaz
1892;2567918.0;1117872.333;VD;Lavey-Village
1893;2560706.731;1125550.19;VS;Muraz (Collombey)
1895;2558699.0;1128949.0;VS;Vionnaz
1896;2556651.5;1132019.0;VS;Miex
1897;2556136.649;1135875.2;VS;Bouveret
